date,tweet,word
2019-08-28 23:43:53+00:00,"Got 1 new graphs for ""amazon india users"" https://",amazonindia
2019-08-28 23:04:08+00:00,"Boult Audio Bassbox Unplug Wireless Bluetooth Speaker with Deep Bass, HD Sound, Built-in Mic, USB Port, Aux and Long Battery Life [70% discount] https://amzn.to/30bXHhg #AmazonIndia #DealsOnElectronics",amazonindia
2019-08-28 22:50:03+00:00,Amazon India gross sales to hit $32bn in 4 years: Report ,amazonindia
2019-08-28 22:03:59+00:00,Samsung 4GB DDR3 PC3 128001600MHz 240 PIN DIMM Desktop Modu [57% discount] https://amzn.to/329Hqd7 #AmazonIndia #DealsOnPC,amazonindia
2019-08-28 21:51:12+00:00,"A paranormal, fantasy and scifi adventure! ★THE GATEWAY SERIES★ http://amzn.to/2K6nIJz http://wp.me/P5rIsN-1Nh Spokenamos #bookboost #amazonindia",amazonindia
2019-08-28 21:34:46+00:00,We have been repeatedly requesting a pick up since we are travelling for a week from 30th to 04th outside the country n still no avail. Please expedite the pick up for tomorrow which i have been requesting for 5 days now. Hope i get a solution from your end atleast. @amazonindia,amazonindia
2019-08-28 21:27:12+00:00,We have sent in the details. And I've had enough people just apologizing and wasting my time with no results. I suggest you drop the apology and get to working on a solution. And fast. @AmazonDelivery #amazondelivery #amazonindia #amazoncustomerservice,amazonindia
2019-08-28 21:16:49+00:00,@AmazonDelivery @AmazonHelp Do you think customers don't have anything better to do than call daily with no half decent response from your delivery teams number you forward!! Bullshit service @amazonindia,amazonindia
2019-08-28 21:14:41+00:00,Sick n tired of calling @AmazonHelp for the return of furniture items wich ur assembly guys didnt bother to assemble aftr constant calls. Been 7 days i have been getting a message 4 pick up for return n refund and no response!!! @AmazonDelivery @amazon @AmazonHelp @amazonindia,amazonindia
2019-08-28 21:03:57+00:00,Panasonic Battery Lithium CR1620/5BE 3V Battery - Pack of 5 (Multicolor) [6% discount] https://amzn.to/2Pk8pkH #AmazonIndia #DealsOnElectronics,amazonindia
2019-08-28 20:04:00+00:00,"Sennheiser CX 180 Street II In-Ear Headphone (Black), without Mic. [27% discount] https://amzn.to/2JZu63g #AmazonIndia #DealsOnElectronics",amazonindia
2019-08-28 19:10:22+00:00,Amazon India announces Fab Phones Fest ,amazonindia
2019-08-28 19:04:05+00:00,"Logitech K480 Multi Device Bluetooth Keyboard for PC, Smartphone and Tablet - Black [33% discount] https://amzn.to/2QoCQ5y #AmazonIndia #DealsOnPC",amazonindia
2019-08-28 18:49:53+00:00,#SendMoneySpinandWin #amazonindia ,amazonindia
2019-08-28 18:43:21+00:00,Amazon India announces Fab Phones Fest https://zeenews.india.com/technology/amazon-india-announces-fab-phones-fest-2230287.html,amazonindia
2019-08-28 17:37:38+00:00,"Wilmar puedes confirmarnos si ¿tienes tu cuenta registrada en Amazon India, Amazon Estados Unidos o en algún otro de nuestros sitios web? ^PC",amazonindia
2019-08-28 17:25:30+00:00,"#OPPOReno2 #20xZoom #UltraDarkMode #AmazonIndia #USOpen Check out OPPO Reno (Ocean Green, 8GB RAM, 128 GB Storage) with No Cost EMI/A...",amazonindia
2019-08-28 17:02:08+00:00,You definitely fall for my page just check in #amazonindia ,amazonindia
2019-08-28 16:54:09+00:00,Check out this Idea List on Amazon: VIVO V15 and VIVO V15pro @Jaw drop... https://www.amazon.in/shop/suchirao27?listId=2J1TOJ99H69ZK&amp;ref=idea_share_inf #vivov15 #vivo #amazonindia #smartphones https://www.amazon.in/shop/suchirao27?listId=2J1TOJ99H69ZK&amp;ref=idea_share_inf,amazonindia
2019-08-28 16:49:58+00:00,@amazonIN #amazonindia #amazonin @amazon @AmazonAustralia @AmazonBusiness @amazonnews ^^ please do needful.,amazonindia
2019-08-28 16:49:57+00:00,Check out this page from @suchi https://www.amazon.in/shop/suchirao27?ref=exp_inf_sh_own_suchirao27 #amazonindia,amazonindia
2019-08-28 16:16:39+00:00,That's my question..... Can I do the KYC without installing the Amazon India application??? I don't have it and don't want it.....,amazonindia
2019-08-28 16:12:49+00:00,I get your concern. Kindly install the Amazon India application and follow the steps provided in the link given earlier for further assistance. Appreciate your understanding. ^NC,amazonindia
2019-08-28 16:11:38+00:00,"#NoRepentence, #NonSupportiveStaff, #Attitude, #IncorrectInformtion #WrongProductDelivery, all of this and many more screw ups make #AmazonIndia",amazonindia
