date,tweet,word
2019-12-03 23:56:51+00:00,@flipkartsupport @Flipkart how bad experience with you?. Everytime i am facing such issue? This time your executive asking to pick order from delivery hub and we are unable to deliver. Oops that bad experience. FMPP0403132213 .. btw i have reduce number of order from FK.,flipkart
2019-12-03 23:35:44+00:00,I this product on Flipkart! CORUS BAG-10589 25 L Laptop Backpack http://dl.flipkart.com/dl/corus-bag-10589-25-l-laptop-backpack/p/itmfhfq5gqnh6dnb?pid=DHYFHFHGXDMGYHBX&amp;cmpid=product.share.pp #buyonflipkart via @Flipkart,flipkart
2019-12-03 23:35:14+00:00,I this product on Flipkart! CORUS BAG-596 25 L Laptop Backpack http://dl.flipkart.com/dl/corus-bag-596-25-l-laptop-backpack/p/itmfhfngfvy3nns4?pid=BKPFHYGE6AAHBWCK&amp;cmpid=product.share.pp #buyonflipkart via @Flipkart,flipkart
2019-12-03 23:34:46+00:00,I this product on Flipkart! CORUS BAG-0589 25 L Laptop Backpack http://dl.flipkart.com/dl/corus-bag-0589-25-l-laptop-backpack/p/itmfhfnqx4vztxxe?pid=BKPFGZDYW29NSH6X&amp;cmpid=product.share.pp #buyonflipkart via @Flipkart,flipkart
2019-12-03 23:34:28+00:00,I this product on Flipkart! CORUS BAG-10597 30 L Trolley Laptop Backpack http://dl.flipkart.com/dl/corus-bag-10597-30-l-trolley-laptop-backpack/p/itmfh27wfzbpeg46?pid=BKPFHFH4SM7ZHV2Z&amp;cmpid=product.share.pp #buyonflipkart via @Flipkart,flipkart
2019-12-03 23:05:52+00:00,@XiaomiIndia i bought #Mi tv from @Flipkart along with #Jeeves service there is screen issue in my tv i complaint more than 100 times in last two months but nobody have care about it. Plz do something..,flipkart
2019-12-03 23:04:44+00:00,@_Kalyan_K @_sachinbansal @Flipkart @PMOIndia @amazonIN poor resoultion u provide yo customer injustice to a poor man who buys a mobile and u dnt value it and dont respond to the emails and you are playing with the emotions of a common man,flipkart
2019-12-03 23:04:17+00:00,Flipkart to collect plastic packaging back from customers Flipkart to collect plastic packaging back from customers https://yourstory.com/2019/11/flipkart-now-collects-plastic-packaging-back @ashwani_mahajan,flipkart
2019-12-03 23:01:46+00:00,@Flipkart,flipkart
2019-12-03 22:34:09+00:00,"Still this issue is open, @Flipkart what kind of service you are selling with TV/Mobile #Jeeves is a fraud company and #FraudFlipkart selling it.. #Flipkart and #Jeeves giving me promises only they are doing nothing my issue is open from more than 2 months.",flipkart
2019-12-03 22:27:24+00:00,Acer Aspire 5s Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) A515-54G Thin and Light Laptop https://dl.flipkart.com/dl/acer-aspire-5s-core-i5-8th-gen-8-gb-512-gb-ssd-windows-10-home-2-graphics-a515-54g-thin-light-laptop/p/itmfhkkhwzydrgrj?pid=COMFHKKHNMNFE4PM via @Flipkart,flipkart
2019-12-03 22:26:10+00:00,Acer Aspire 5s Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) A515-54G Thin and Light Laptop https://dl.flipkart.com/dl/acer-aspire-5s-core-i5-8th-gen-8-gb-512-gb-ssd-windows-10-home-2-graphics-a515-54g-thin-light-laptop/p/itmfhkkhwzydrgrj?pid=COMFHKKHNMNFE4PM via @Flipkart . Buy online link,flipkart
