date,tweet,word
2019-11-01 23:25:04+00:00,MANAGE YOUR SUBSCRIPTION BUSINESS: GROW YOUR CUSTOMER BASE by Vikram Ravishankaran US Amazon http://bit.ly/323p8d7 India Amazon https://amzn.to/34sJOx3 UK Amazon https://amzn.to/34jB1gL #KU #KINDLE #KINDLEUNLIMITED #business,amazonindia
2019-11-01 23:20:21+00:00,"@AmazonHelp : I return my damage package, already have return receipt and damage product images.Already discussing on Face book but Amazon India is not returning my money back, this is clear case of cheating. Please help on this.",amazonindia
2019-11-01 22:04:05+00:00,Corsair K70 Rapidfire Cherry CH-9101024-NA Mechanical Gaming Keyboard (Red) [33% discount] https://amzn.to/2LfZ9eQ #AmazonIndia #DealsOnPC,amazonindia
2019-11-01 21:52:48+00:00,Keeps directing me to Amazon India site. My order is from Amazon USA site.,amazonindia
2019-11-01 21:19:15+00:00,★A FAVORITE SON★ http://getBook.at/Favorite_Son http://wp.me/P5rIsN-2qJ UviPoznansky bookboost #ASMSG Pizzazz_Books #amazonindia,amazonindia
2019-11-01 21:04:00+00:00,Godox Speedlite TT685F Camera Flash TTL HSS GN60 High Speed 1/8000S 2.4G for Fuji X-Pro2/1 X-T20 X-T2 X-T1 (Black) [15% discount] https://amzn.to/2WzwQKZ #AmazonIndia #DealsOnElectronics,amazonindia
2019-11-01 20:52:20+00:00,"Facing the same issue again, not able to club all 3 offers provided by Amazon India. @amazonIN just clearly deny customers for buying cellphones. Why this cheap trick??",amazonindia
2019-11-01 20:24:00+00:00,top 10 books to read in Amazon india – best to buy http://rviv.ly/yI9w3U #trawod,amazonindia
2019-11-01 20:03:55+00:00,Corsair K70 LUX Mechanical Gaming Keyboard - Backlit Red LED - Cherry MX Red [50% discount] https://amzn.to/34qGLoL #AmazonIndia #DealsOnPC,amazonindia
2019-11-01 19:30:43+00:00,"Amazon India Oh yes. I did inform the support team (Manoj) and then to escalation team (Shantanu) but according to them this is just another thing and ""not to be worried about"" Wow! And then you'll have the tagline of ""world's most customer centric company""!! How ironical!",amazonindia
2019-11-01 19:04:05+00:00,TheGiftKart Shockproof Carbon Fibre Soft Silicon Armor Back [70% discount] https://amzn.to/2N9lKt7 #AmazonIndia #DealsOnElectronics,amazonindia
2019-11-01 18:45:14+00:00,@amazonIN Not shocked with Amazon customer Care's level of understanding. Amazon India staff lacks proper coaching. Been a repeated victim. Question from east and response from West.,amazonindia
2019-11-01 18:39:26+00:00,"Hey Amazon India Products(@Amazon4Indian), thank you for following me",amazonindia
2019-11-01 18:22:11+00:00,@AmazonHelp pathetic customer service. I want to replace my mobile with in 10 days but they are fooling me. Fraud done by amazon india,amazonindia
2019-11-01 18:12:58+00:00,@JeffBezos @amazonIN Pathetic service by amazon India. LG 28 lt microwave clearly mentions open box inspection on the product page but during delivery this commitment is no more honoured. #ShameOnYouAmazon #AmazonCheatingIndianCustomers,amazonindia
2019-11-01 18:09:41+00:00,#AmazonFestiveRiddles #FingersCrossed #AmazonIndia ,amazonindia
2019-11-01 17:51:47+00:00,Amazon and Nintendo may have struck a deal to kick off retro game sellers. https://bit.ly/325pgcm #AmazonIndia #Nintendo #Retro #RetroGames #Games #TTH #Technology #TechThisHour,amazonindia
2019-11-01 17:33:04+00:00,Have a look #AmazonIndia #AmazonGreatIndianFestival #one8,amazonindia
2019-11-01 17:26:53+00:00,#uberspinandwin #AmazonIndia @amazonIN,amazonindia
2019-11-01 17:22:48+00:00,I'm waiting of this #AmazonFestiveRiddles #AmazonIndia #Amazon #AmazonFestiveRiddle,amazonindia
2019-11-01 17:20:33+00:00,I have won this انشاء اللہ #AmazonFestiveRiddles #AmazonIndia #AmazonFestivalRiddles,amazonindia
2019-11-01 16:58:49+00:00,"@amazonprimenow fcuking a**hole customer service #robbers #moneysuckers #AmazonPrime @AmazonNews_IN #amazonindia @Flipkart #amazonin #amazonsucks @consumercourtin @amit803 #fuckoff #shutdown your service, every #customerexecutive explain different #story #WORST",amazonindia
2019-11-01 16:51:15+00:00,#UberSpinAndWin #AmazonIndia ,amazonindia
2019-11-01 16:42:02+00:00,"I m from India, I buy my from amazon India. But ur service center denied to give any android update in future.",amazonindia
2019-11-01 16:40:54+00:00,"Go Pro Hero 8 launching on 4th November 2019 with new features like Hypersmooth 2.0, Ultra smart HDR, upto 8X smooth Slow motion capture and much more!! PRE-Order NOW: https://amzn.to/34nIJ9D #goprohero8 #gopro #GoPro #amazonprimevideo #Amazon #AmazonIndia #Preorder",amazonindia
2019-11-01 16:33:16+00:00,online theft...whom to trust?,amazonindia
2019-11-01 16:29:33+00:00,What an escape route,amazonindia
2019-11-01 16:29:21+00:00,"#AmazonFestiveSpinandWin I need it very much, my only wish is that I will go to Ajit. Thank you so much #AmazonIndia. @amazonIN",amazonindia
2019-11-01 16:26:42+00:00,#UberSpinAndWin I hope I will win #ples #hope @amazonIN @Uber #AmazonIndia #Uber,amazonindia
2019-11-01 16:25:33+00:00,#AmazonFestiveRiddles I Hope I will win #Please @amazonIN #AmazonIndia ,amazonindia
2019-11-01 16:18:08+00:00,"they have asked time till 5th...but for follow ups @amazonIN has put the registered mail id and contact no. on block.. so, no complainer can call and follow up.",amazonindia
2019-11-01 16:15:34+00:00,Any procedure followed for #FIR against @amazonIN? This situation is such.,amazonindia
2019-11-01 16:13:11+00:00,and this is how @JeffBezos became world richest.,amazonindia
2019-11-01 16:12:30+00:00,yes they are..and now @amazonIN customers care no is not reachable from the the number from which complain was filed.,amazonindia
2019-11-01 16:10:07+00:00,after calling from other number @amazonIN received call and after asking status of my complain they kept me on hold for 42 mins and never replied back,amazonindia
2019-11-01 16:09:28+00:00,Do you mean only a charger was delivered? Do you mean you paid for the phone and you only received a charger? Do you mean @amazonIN is still FOOLING customers? Do you mean #onlineshopping is the worst experience ever with #AmazonIndia?,amazonindia
2019-11-01 16:08:40+00:00,this is so blunder...now @amazonIN doesnt entertain the call from the registered mobile no. from which complaint was files and neither mails are replied. @amazonIN have great tactics that by anyways complainer gives up.,amazonindia
2019-11-01 16:06:02+00:00,#ScanAndPaySpinAndWin #AmazonIndia ,amazonindia
2019-11-01 16:03:55+00:00,#Amazon Great indian Sale Quiz #AmazonIndia Waiting for announcement,amazonindia
2019-11-01 16:02:30+00:00,#Amazon Great indian Sale Quiz #AmazonIndia #Amazon,amazonindia
2019-11-01 15:59:11+00:00,#AmazonGreatIndianFestival #AmazonIndia,amazonindia
2019-11-01 15:58:27+00:00,"Same story here too , they will investigate they say , ACP Praduman will solve the case it seems",amazonindia
2019-11-01 15:57:04+00:00,@jimsaidthat @Roaring_Mighty @amitrathod8991,amazonindia
2019-11-01 15:56:45+00:00,#AmazonSpinAndWin #AmazonIndia Winner when will announce...? ,amazonindia
2019-11-01 15:37:45+00:00,"@amazonIN from shopping to bill payments, you've become my one stop shop! There are very few such organizations who hit the right spot #AmazonIndia however, you should advertise #AmazonPay more as it has the potential to beat all others out there!",amazonindia
2019-11-01 15:37:37+00:00,#AmazonFestiveRiddles I want it plz #AmazonIndia help me for winning this gift.. I really need it. ,amazonindia
2019-11-01 15:23:21+00:00,@flipkartsupport U guys are great! U sending some different product and not the 1 ordered. You are not exchanging or issuing refunds. #FlipkartFraud @amazonIN #AmazonIndia is never like that,amazonindia
2019-11-01 15:11:14+00:00,"@Jeff Bezos , Amazon india, is dealing with non professional sellers in its online market place http://Amazon.in, I have believed amazon and purchased international product buy providing my identity card, but the seller cheats the Indian government, Amazon, and myself, Act",amazonindia
2019-11-01 15:06:13+00:00,Have already written post checking the same! You may choose to spend time in trying to fool as you all are doing for this particular order since 28th Oct 2019. I am writing this for public awarness on how pathetic Team #AmazonIndia is!!,amazonindia
2019-11-01 14:56:58+00:00,#AmazonIndia वालों यह क्या है दिखा रहा है की ग्राहक के हाथ में पार्सल दे दिया है जब की हमे अभी तक पार्सल मिला ही नही है #AmazonGreatIndianFestival #AmazonLive,amazonindia
2019-11-01 14:53:19+00:00,Unexpected consequences and the twists and turns of life! ★A VERY PRESENT HELP★ http://amzn.to/2JXnvcA http://wp.me/P5rIsN-3Uh SharonKConnell #bookboost ASMSG ✎via Pizzazz Book Promotions http://wp.me/P5rIsN-Ft #amazonindia,amazonindia
2019-11-01 14:51:19+00:00,"Don’t buy from amazon india, they won’t support for your orders...",amazonindia
2019-11-01 14:49:52+00:00,No mail received!. Exactly my point this what #AmazonIndia is. Thanks for proving me right!! #amazoncheats,amazonindia
2019-11-01 14:43:32+00:00,The latest The http://cryptomeria.org Daily! https://paper.li/f-1516977591?edition_id=f970f340-fcb5-11e9-b54a-0cc47a0d1609 Thanks to @nomadics @Nikopol42680261 @13Orders #trailblazercommunity #amazonindia,amazonindia
2019-11-01 14:38:49+00:00,I hope I am winning I really needed #AmazonFestiveRiddles #AmazonIndia #amazonemiquiz,amazonindia
2019-11-01 14:36:27+00:00,This is how soon complaints are reviewed #AmazonIndia #AmazonCheats,amazonindia
2019-11-01 14:35:01+00:00,"@amazonIN the #AmazonIndia app has gone to shit lately, crashing every few minutes @AmazonHelp",amazonindia
2019-11-01 14:02:12+00:00,Can't wait for the results #AmazonFestiveRiddles #AmazonIndia ,amazonindia
2019-11-01 13:57:18+00:00,"@amazonIN @AmazonHelp @UfterYou A major delay in announcing winner list by Amazon India for daily quiz conducted, winner list was to be announced on 30 and 31 Oct and the same isn't declared yet, check in regards to same ASAP. Attached screenshot Nov 1. ",amazonindia
2019-11-01 13:45:00+00:00,@AmazonHelp my wife was trying to register as a seller on amazon India and somehow got redirected to amazon japan and was charged 4900 Japanese Yen. Please refund the amount at the earliest as she is not keen to work with amazon japan but wanted to register on amazon India only,amazonindia
2019-11-01 13:41:10+00:00,"It's been 24 hours, no reply. I didn't think you'd have one anyway. @GKhair officially told me they don't sell on Amazon India. The reseller is #cloudtail which is your own susbsidiary. You are selling fake products! You know it! You need to refund my money asap!",amazonindia
2019-11-01 13:37:52+00:00,@AmazonHelp is this also handle amazon India support?,amazonindia
2019-11-01 13:21:49+00:00,"#AmazonIndia #jeffbezos - please settle the issue with your vendor, #KANOES ECOM and ensure the replacement product is delivered to me.",amazonindia
2019-11-01 13:18:00+00:00,Bacca Bucci Men Blue Suede Leather Casual Shoes in ₹ 463 https://amzn.to/34l1jiw #Amazonindia #Amazondeals #sneaker #sneakers #sneakerart #sneakerpics #sneakerplug #sneakergram #sneakerlove #sneakerlife #sneakershop #sneakershoes #sneakerfiles #sneakerlover #sneakerspics,amazonindia
2019-11-01 13:03:55+00:00,"Nu Republic Rebop 3 Neckband in-Ear Wireless Earphones with Bluetooth 5.0, 10 mm Dynamic Drivers, Long Battery Life, in-Line Controls with Mic [67% discount] https://amzn.to/2NyYZ0v #AmazonIndia #DealsOnElectronics",amazonindia
2019-11-01 12:59:41+00:00,Totally free spin with gorgeous prizes! Just try your luck and you could win! https://rr.lovevova.com/NDcwNDQ1NzE= #achet #afaire #gagner #AmazonGreatIndianFestival #AmazonSynod #AmazonEcho #AmazonIndia #amazonlive #amazonprimevide #produits #AlitaArmy #aliemiricinadalet #Alice #eBayKleinanze,amazonindia
2019-11-01 12:32:49+00:00,"Amin Ahsan Islahi's book ""Fundamentals of Hadith Interpretation"" available in Amazon India https://amzn.to/31ZqoOA #Fundamentals #Hadith #Interpretation #Books #Islamicbook #Online #Ecommerce #Amazon #MeezanAvailableInAmazon #OnlineMarketing #onlineshopping #AmazonIndia",amazonindia
2019-11-01 12:30:55+00:00,"Kiwi Kisan Window Sunflower Seeds, 100 g Buy Here: https://amzn.to/338ZIfM Our Amazon Store: https://amzn.to/2KPNyjW⁠ ⁠ Website: http://www.kisanwindow.com⁠ #natural #KiWi #kisanwindow #amazonindia #food #foodie #fitlife #healthyfood #HealthySnack #OrganicFood",amazonindia
2019-11-01 12:29:22+00:00,"@amazon @AmazonHelp @amazonIN A order was returned and item was picked up two weeks ago, still the app is showing 'return started' and i am waiting for refund. Called Customer Care India twice but they are so useless giving false info. #AmazonIndia #amazonSucks #ThugsOfHindostan",amazonindia
